English,ASL Gloss
Do you want a ride to the mall?,M-A-L-L RIDE WANT YOU Q
Yes I want to start buying Christmas gifts soon,YES SOON CHRISTMAS GIFTS START BUYING WANT ME
Please sit in this chair,THIS CHAIR PLEASE SIT
I like to fly small planes,SMALL PLANES FLY LIKE ME
He will go later,HE GO WILL
Mike is walking over to my house,MY HOUSE M-I-K-E WALK WILL
I havent eaten,ME EAT NOT YETStructuring Sentences
He ran,HE RAN
He ran,RAN HIM
She fell,SHE FELL
She fell,FELL HER
He sells,HE SELLS
I eat,ME EAT
She drives,SHE DRIVES
He sells food,HE SELLS FOOD
He sells food,FOOD HE SELLS
I eat pizza,ME EAT PIZZA
I eat pizza,PIZZA ME EAT
She drives a car,SHE DRIVES CAR
She drives a car,CAR SHE DRIVES 
The girl throws the dog a bone,DOG BONE GIRL THROW
I gave the teacher an apple,ME TEACHER APPLE GAVE
The chairs look nice,CHAIRS LOOK NICE
That pizza smells good,PIZZA SMELLS GOOD
Were finished Im going to eat now,WE FINISH NOW ME EAT
Sit Ill bring you some pizza,SIT PIZZA BRING YOU WILL
Throw me an apple too,APPLE THROW ME TOO
Wow! Our 50th anniversary!,ANNIVERSARY 50 YEARS US WOW
Ooh thats a long time!,LONG TIME SO FAR
Where do you want to celebrate?,CELEBRATION WHERE GO Q
The living room,LIVING ROOM
Oh I see Why?,OH I SEE WHY Q
Its inexpensive,CHEAP
You stop that!,FINISH
If you order beer Ill order wine,IF BEER ORDER YOU WINE ORDER ME
WRITER,WRITE AGENT
PILOT,FLY AGENT
SUPERVISOR,SUPERVISE AGENT
CHEF,COOK AGENT
LAWYER,LAW AGENT
MANAGER,MANAGE AGENT
Do you sign?,SIGN YOU Q
Are you deaf?,DEAF YOU Q
How are you?,WHATS UP
Do you sign?,SIGN YOU Q
Yes are you deaf?,YES DEAF YOU Q
No my sister is deaf,NO MY SISTER DEAF
Oh I see; you sign well,OH I SEE SIGN SKILL YOU
Hi Im Dee,HI D-E-E ME
Nice to meet you Im Cameron,NICE MEET YOU C-A-M-E-R-O-N ME
Nice to meet you too,NICE MEET TOO
Everything is so expensive!,EVERYTHING EXPENSIVE
Yes and no sales,TRUE DISCOUNTS NONE
Its sad; even stamps are going up,SAD STAMP COST INCREASE TOO
It really makes me angry,ANGRY ME
Me too,ME TOO
Buddy and I are taking a trip,B-U-D-D-Y ME TRAVEL WILL
Wow! Sounds like a fun time,WOW SEEMS FUN
Were going to Texas California and Colorado,US TRAVEL WHERE TEXAS CALIFORNIA COLORADO
Will you see Chip?,YOU SEE C-H-I-P Q
Yes Chips in Los Angeles,YES C-H-I-P LA
The trees are beautiful in Japan,JAPAN TREES BEAUTIFUL
The mountains are so high,MOUNTAINS HIGH
There are so many rivers,RIVERS MANY
Two books,BOOK TWO
Four cars,CAR FOUR
Can you come over to my house at 7 PM?,7 PM MY HOUSE COME CAN YOU Q
Yes I can,YES CAN ME
Remember its 329 West Drive,REMEMBER HOUSE WEST D-R 3-2-9
Can you give me directions?,DIRECTIONS GIVE ME CAN Q
Right on West Drive; the third house on the right,HOUSE THIRD RIGHT STREET WEST D-R
apartment,A-P-T
Do you own your home or rent?,YOUR HOME OWN RENT WHICH Q
The door is locked,DOOR LOCKED
The garage has a window,GARAGE WINDOW HAVE
His house is big,HIS HOUSE BIG
Can I go upstairs?,UPSTAIRS GO ME CAN QTouring all the rooms
Can I use the bathroom?,BATHROOM USE ME CAN Q
Is this your bedroom?,BEDROOM YOURS Q
The kitchen is hot,KITCHEN HOT
Dont play in the living room,LIVING ROOM PLAY THERE DONT
Sit on the couch,COUCH SIT
Turn on the lamp,LAMP O-N
My carpet is white,MY CARPET WHITE
The picture is pretty,PICTURE PRETTYSignin the Sign
The house has a big yard,HOUSE YARD BIG
I want to see the kitchen,KITCHEN WANT SEE ME
We need a couch lamp and pictures,COUCH LAMP PICTURES NEED US
Its great to own not rent a house,HOUSE OWN GREAT RENT NOT
Who is going?,GOING WHO Q
What do you mean?,MEAN WHAT Q
Are you working today?,TODAY WORKING YOU Q
Yes for two hours,YES TWO HOURS SHORT
Im going to the movies,MOVIES GO ME
May I join you?,YOU ME Q
Of course,OF COURSE
Is she your sister?,HER SISTER YOURS Q
No my sister-in-law,NO SISTER LAW MINE
He is my half brother,MY 1-2 BROTHER HIM 
Avenue,A-V-E
Circle,C-I-R
Drive,D-R
Street,S-T
Apartment,A-P-T
Way,W-Y
Where are you moving?,MOVING YOU WHERE Q
Chicago Will you write?,CHICAGO LETTER WRITE ME YOU Q
Yes whats your address?,YES ADDRESS YOURS WHAT Q
171 Anywhere Lane 98765,1-7-1 A-N-Y-W-H-E-R-E L-A-N-E 9-8-7-6-5
Thanks Phone me when you arrive,THANKS ARRIVE YOU PHONE ME
vice presidents ,V-P
Hi Im Kim Toms accountant,HI K-I-M ME ACCOUNTANT FOR T-O-M
Im Juanita Nice to meet you,J-U-A-N-I-T-A ME NICE MEET YOU
Do you work at Bailey & Sons?,B-A-I-L-E-Y S-O-N-S YOU WORK Q
Yes Im vice president of marketing,YES MARKETING V-P ME
