You are named what, YOU NAME
Are you Deaf, DEAF YOU
Are you a student, STUDENT YOU
Do you understand him/her, YOU UNDERSTAND HE/SHE
Who is he/she, WHO HE/SHE
What is your name again, AGAIN NAME YOU
It is nice to meet you, NICE MEET-you 
Are you a hearing person, HEARING YOU
Are you a teacher, ASL TEACHER YOU
Where are you learning sign, YOU LEARN SIGN WHERE
Why are you learning sign, YOU LEARN SIGN WHY 
How do you sign thanks, HOW SIGN T-H-A-N-K-S
Are they learning sign language, THEY LEARN SIGN
Who is your teacher, YOUR TEACHER WHO
Do you like learning sign language, YOU LIKE LEARN SIGN 
Hey what's your name, HEY NAME YOU 
Are you married, YOU MARRIED 
Do you have children, CHILDREN YOU 
How many sisters do you have, YOU SISTER HOW-MANY
Is your dad deaf, YOUR DAD DEAF 
Where do you work, YOU WORK WHERE 
Where do you live, YOU LIVE WHERE 
Is your name Bob, YOU NAME B-O-B YOU 
Are you divorced, YOU DIVORCED YOU 
How many brothers do you have, HOW-MANY BROTHER YOU 
Is your sister single, YOUR SISTER SINGLE 
Spell your dad's name slowly, YOUR DAD NAME SPELL SLOW 
Do you have a sister, YOU HAVE SISTER 
What is your name, NAME YOU
What city do you live in, CITY YOU LIVE
Do you like learning sign, YOU LIKE LEARN SIGN
Is your house big, YOUR HOUSE BIG
How many children do you have, YOU CHILDREN HOW-MANY
How many bathrooms do you have in your house, YOUR HOUSE BATHROOM HOW-MANY
Where do you work, YOU WORK WHERE
Do you like your work, YOU LIKE YOUR WORK
Do you think I sign well, YOU THINK I SIGN GOOD
Where are you from, FROM WHERE YOU
Do you live here, YOU LIVE HERE
Is anyone in your family deaf, FAMILY DEAF
Is your house small, YOUR HOUSE SMALL
Do you go to school, YOU GO SCHOOL YOU
What is your favorite color, YOUR FAVORITE COLOR WHAT 
Do you like the color brown, YOU LIKE COLOR BROWN 
Do you draw well, YOU DRAW GOOD 
Are your parents divorced, YOUR PARENTS DIVORCE 
Is your chair green, YOUR CHAIR GREEN 
How old are you, how-OLD YOU 
In what city do you live, CITY YOU LIVE 
Do you want to go home now, YOU WANT GO HOME NOW 
What color is your paper, YOUR PAPER WHAT COLOR 
Have you ever lived in a big city, YOU LIVE BIG CITY PAST YOU 
Do you like red cars, YOU LIKE RED CAR 
Are you going to school tomorrow, TOMORROW YOU GO SCHOOL 
How many years have you lived here, YOU LIVE HERE HOW-MANY YEAR 
What type of candy do you like, CANDY YOU LIKE WHAT-KIND 
What type of cereal do you like, CEREAL YOU LIKE WHAT-KIND 
Do you like cookies and milk, YOU LIKE COOKIES WITH MILK 
How many cups of water do you drink daily, WATER YOU DRINK EVERYDAY CUP HOW-MANY YOU 
What is your favorite food, YOUR FAVORITE FOOD WHAT 
Are you hungry, HUNGRY YOU 
What type of pizza do you like, PIZZA YOU LIKE WHAT-KIND 
What kind of soup do you like, SOUP YOU LIKE WHAT-KIND 
Do you like to eat red apples, APPLE RED YOU LIKE EAT 
What kind of cookies do you like, COOKIE YOU LIKE WHAT-KIND 
Does your sister like eggs, YOUR SISTER LIKE EGG 
Don't you like candy, YOU DON'T-LIKE CANDY 
What color is your belt, YOUR BELT COLOR 
When do you change clothes, YOU CHANGE CLOTHES WHEN 
What color is a doctor's lab coat, DOCTOR L-A-B COAT COLOR 
Where should we put dirty clothes, CLOTHES DIRTY SHOULD PUT WHERE 
Who in this room has glasses, WHO THIS ROOM HAVE GLASSES 
Who has a hearing aid, HEARING-AID WHO HAVE 
Do you like doing laundry, YOU LIKE WASHING-MACHINE CLOTHES 
What color is your shirt, YOUR SHIRT what-COLOR 
How many pairs of shoes do you have, SHOES YOU HAVE HOW-MANY  
What color are your socks, YOUR SOCKS what-COLOR 
Do you live in a basement apartment, YOU LIVE BASEMENT APT 
What color is your couch, YOUR COUCH what-COLOR 
What color is that table, THAT TABLE COLOR 
What kind of toothpaste do you use, WHAT-KIND TOOTHPASTE YOU 
Would you rather cook using a stove or a microwave, YOU PREFER STOVE MICROWAVE WHICH 
What color is your fridge, YOUR REFRIGERATOR WHAT COLOR 
Have you ever been in an ambulance, AMBULANCE BEFORE YOU 
Is there a window in your bedroom, YOUR BEDROOM HAVE WINDOW 
How many bathrooms are there in your house, YOUR HOUSE HOW-MANY BATHROOM 
Do cats like to eat birds, CAT LIKE EAT BIRD 
What type of books do you like to read, BOOK YOU LIKE READ WHAT-KIND 
Do fish like to eat bugs, FISH LIKE EAT BUG 
Have you ever taken an ASL class, A-S-L CLASS YOU PAST TAKE  
Do you want a horse, HORSE YOU WANT 
Is your sister fat, YOUR SISTER FAT 
Do you like to fool people, YOU LIKE FOOL PEOPLE 
What color is your brother's hair, YOUR BROTHER HAIR COLOR 
Is your dad short, YOUR DAD SHORT 
Is your grandpa skinny, YOUR GRANDPA SKINNY 
Are old people weak, OLD PEOPLE WEAK 
How many girls in this class have straight hair, GIRL THIS CLASS STRAIGHT-HAIR HOW-MANY 
Are most farmers strong, MOST FARMER STRONG 
