English,ASL Gloss
I love to cook hamburgers on the grill., G-R-I-L-L HAMBURGER COOK I LOVE.
I like to ice skate on our pond., OUR P-O-N-D ICE SKATE I LIKE.
I like to be active and not sit and watch TV all day., ALL DAY I LIKE ACTIVE NOT SIT WATCH #TV.
Are you prepared for hurricane season?, HURRICANE S-E-A-S-O-N YOU READY PREPARE?
The dinner party was awkward because most of us did not know each other., DINNER PARTY AWKWARD WHY? MOST US NOT KNOW EACH OTHER.
My favorite author is me!, MY FAVORITE AUTHOR WHO? ME!
I love anything that has chocolate in it., I LOVE ANYTHING HAVE CHOCOLATE INSIDE.
In 1947 Rhulin Thomas became the first deaf pilot to fly from coast-to-coast in the U.S. alone., YEAR 1947 R-H-U-L-I-N T-H-O-M-A-S HE FIRST DEAF PILOT ALONE UNITED STATES C-O-A-S-T FLY-ACROSS C-O-A-S-T.
Sean Berdy is a deaf actor well known for acting on the TV series Switched at Birth., S-E-A-N B-E-R-D-Y HIMSELF DEAF ACTOR FAMOUS WHY? HE INVOLVED #TV PROGRAM QUOTE SWITCHED A-T BIRTH.
Did you see the movie about the life of Kitty O'Neil a deaf stuntwoman and racer?, YOU FINISH SEE MOVIE ABOUT DEAF WOMAN HERSELF FAMOUS S-T-U-N-T WOMAN AND CAR RACER. HER NAME K-I-T-T-Y O'-N-E-I-L.
Do you like to watch baseball?, BASEBALL WATCH YOU LIKE?
My daughter gave me beautiful flowers., BEAUTIFUL FLOWERS MY DAUGHTER GIVE-ME.
My brother is thin because he exercises everyday., MY BROTHER THIN WHY? (because) EXERCISE EVERYDAY.
Can you hear all the birds singing?, ALL BIRDS SINGING HEAR CAN YOU?
My 29th birthday is tomorrow! (Just kidding!), TOMORROW MY BIRTHDAY! I OLD 29. WINK-WINK.
I watched a boring movie last night and fell asleep., LAST NIGHT BORING MOVIE I WATCH FALL-ASLEEP ME.
I like to eat cheese on my broccoli., MY B-R-O-C-C-O-L-I CHEESE POUR I LIKE.
I need to drink coffee to wake me up every morning., EVERY MORNING I WAKE UP HOW? COFFEE NEED DRINK ME.
I encourage my students to attend college., COLLEGE GO-TO MY STUDENTS I ENCOURAGE.
I enjoy playing with my cousins at my grandmother's house., GRANDMOTHER'S HOUSE COUSINS PLAY-AROUND I ENJOY.
My sister is Deaf and goes to Gallaudet University., GALLAUDET UNIVERSITY MY DEAF SISTER GO-TO.
I eat ice cream for dessert every night., EVERY NIGHT DESSERT ICE CREAM I EAT.
I'm looking for a new doctor., NEW DOCTOR LOOK-FOR I.
I need a drink of water., WATER DRINK I NEED.
Luckily my family is very supportive., LUCKY ME WHY? MY FAMILY SUPPORT ME!
My grandfather is a dairy farmer., MY GRANDFATHER WORK WHAT? DAIRY FARMER.
My father-in-law worked at a factory for twenty-five years., 25 YEARS FACTORY MY FATHER-IN-LAW WORK WORK WORK.
I like to watch college football games., COLLEGE FOOTBALL GAMES WATCH I LIKE.
Do you like Arby's or Wendy's french fries better?, FRENCH FRIES A-R-B-Y'S W-E-N-D-Y'S YOU LIKE BETTER WHICH?
My family grows watermelon in our garden., OUR G-A-R-D-E-N WATERMELON MY FAMILY GROW GROW GROW.
Every Tuesday my family has game night., EVERY TUESDAY MY FAMILY DO-DO? GAME NIGHT.
My girlfriends are coming over for dinner tonight., TONIGHT DINNER MY GIRLFRIENDS COME OVER.
My daughter is always happy., MY DAUGHTER SHE ALWAYS HAPPY.
I bought a new hat., NEW HAT I BUY FINISH.
I heard you were quiting your job., YOUR JOB YOU QUIT I HEARD.
William Dummy Hoy was a Deaf Major League Baseball player and some say he helped establish the baseball signals for safe and out calls., W-I-L-L-I-A-M QUOTE D-U-M-M-Y H-O-Y HIMSELF FAMOUS DEAF BASEBALL PLAYER HE HELP SETUP BASEBALL S-I-G-N-A-L-S SAFE OUT.
I like to learn about a building's history., BUILDING HISTORY LEARN ABOUT I LIKE.
I have many good ideas for your birthday party., YOUR BIRTHDAY PARTY MANY GOOD IDEAS I HAVE.
My office just hired a new interpreter., NEW INTERPRETER MY OFFICE RECENTLY HIRE.
My favorite vegetable is corn on the cob., MY FAVORITE #VEG (vegetable) WHAT? CORN ON THE COB.
My neighbor is lazy he never mows the lawn., MY NEIGHBOR LAZY WHY? MOW LAWN NEVER.
I go to the library about 3 days a week., 3 DAYS WEEK LIBRARY I GO-TO.
Two cats are better so they don't get lonely., TWO CATS BETTER WHY? NOT BECOME LONELY.
My mother-in-law has been very sick recently., MY MOTHER-IN-LAW RECENTLY SICK (emphasized).
Don't forget to put your name on the paper., PAPER YOUR NAME WRITE NOT FORGET.
When I was young I delivered the newspaper every morning., WHEN I YOUNG EVERY MORNING NEWSPAPER I DELIVER.
I wanted to buy a ticket for the game but they had none left., BUY TICKET FOR GAME I WANT BUT NONE LEFT.
I'm doing nothing this weekend., NOW WEEKEND ME DO-DO NOTHING.
The school nurse is always busy., SCHOOL NURSE ALWAYS BUSY.
Apple's business plan is top secret., A-P-P-L-E THEIR BUSINESS PLAN SECRET.
Kenny Walker is deaf and played football in the NFL for the Denver Broncos., K-E-N-N-Y W-A-L-K-E-R HE DEAF HE PLAY FOOTBALL N-F-L WHICH TEAM? D-E-N-V-E-R B-R-O-N-C-O-S .
My favorite kind of popcorn is kettle corn., MY FAVORITE KIND POPCORN WHICH? K-E-T-T-L-E C-O-R-N
My dog is always in trouble., TROUBLE MY #DOG ALWAYS.
I think it is supposed to rain all week., ALL WEEK SUPPOSED-TO RAIN I THINK.
I enjoy reading children's picture books., CHILDREN PICTURE BOOKS READ I ENJOY.
I roller skated a lot when I was young., WHEN I YOUNG I ROLLER SKATED A LOT.
Please write in complete sentences., COMPLETE SENTENCE WRITE PLEASE.
I just bought a new shirt., NEW SHIRT I RECENTLY BUY.
My grandfather is a silly man., MY GRANDFATHER SILLY MAN.
I love watching sports every Saturday., EVERY SATURDAY S-P-O-R-T-S WATCH I LOVE.
I support the work of the Red Cross., RED CROSS THEIR WORK I SUPPORT.
